table,fieldName,description,dataType,units,downloadPkg
WSDBuoy_2min,buoyCompRangeNAQM,"Buoy compass quality metric that summarizes when the range test could not be run over the averaging period, as a percent",real,percent,expanded
WSDBuoy_2min,buoyCompPersistenceFailQM,"Buoy compass quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded
WSDBuoy_2min,buoyCompPersistencePassQM,"Buoy compass quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded
WSDBuoy_2min,buoyCompPersistenceNAQM,"Buoy compass quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent",real,percent,expanded
WSDBuoy_2min,buoyCompNullFailQM,"Buoy compass quality metric that summarizes the failed outcomes of the null test over the averaging period, as a percent",real,percent,expanded
WSDBuoy_2min,buoyCompNullPassQM,"Buoy compass quality metric that summarizes the passed outcomes of the null test over the averaging period, as a percent",real,percent,expanded
WSDBuoy_2min,buoyCompNullNAQM,"Buoy compass quality metric that summarizes when the null test could not be run over the averaging period, as a percent",real,percent,expanded
WSDBuoy_2min,buoyCompGapFailQM,"Buoy compass quality metric that summarizes the failed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded
WSDBuoy_2min,buoyCompGapPassQM,"Buoy compass quality metric that summarizes the passed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded
WSDBuoy_2min,buoyCompGapNAQM,"Buoy compass quality metric that summarizes when the gap test could not be run over the averaging period, as a percent",real,percent,expanded
WSDBuoy_30min,startDateTime,"Date and time at which a sampling is initiated",dateTime,NA,basic
WSDBuoy_30min,endDateTime,"Date and time at which a sampling is completed",dateTime,NA,basic
WSDBuoy_30min,buoyWindSpeedMean,"Arithmetic mean of wind speed on buoy",real,metersPerSecond,basic
WSDBuoy_30min,buoyWindSpeedMinimum,"Minimum wind speed on buoy",real,metersPerSecond,basic
WSDBuoy_30min,buoyWindSpeedMaximum,"Maximum wind speed on buoy",real,metersPerSecond,basic
WSDBuoy_30min,buoyWindSpeedVariance,"Variance in wind speed on buoy",real,metersPerSecondSquared,basic
WSDBuoy_30min,buoyWindSpeedNumPts,"Number of points used to calculate the arithmetic mean of wind speed on buoy",real,number,basic
WSDBuoy_30min,buoyWindSpeedExpUncert,"Expanded uncertainty for wind speed on buoy",real,metersPerSecond,basic
WSDBuoy_30min,buoyWindSpeedStdErMean,"Standard error of the mean for wind speed on buoy",real,metersPerSecond,basic
WSDBuoy_30min,buoyWindSpeedRangeFailQM,"Buoy wind speed quality metric that summarizes the failed outcomes of the range test over the averaging period, as a percent",real,percent,expanded
WSDBuoy_30min,buoyWindSpeedRangePassQM,"Buoy wind speed quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent",real,percent,expanded
WSDBuoy_30min,buoyWindSpeedRangeNAQM,"Buoy wind speed quality metric that summarizes when the range test could not be run over the averaging period, as a percent",real,percent,expanded
WSDBuoy_30min,buoyWindSpeedPersistenceFailQM,"Buoy wind speed quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded
WSDBuoy_30min,buoyWindSpeedPersistencePassQM,"Buoy wind speed quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded
WSDBuoy_30min,buoyWindSpeedPersistenceNAQM,"Buoy wind speed quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent",real,percent,expanded
WSDBuoy_30min,buoyWindSpeedNullFailQM,"Buoy wind speed quality metric that summarizes the failed outcomes of the null test over the averaging period, as a percent",real,percent,expanded
WSDBuoy_30min,buoyWindSpeedNullPassQM,"Buoy wind speed quality metric that summarizes the passed outcomes of the null test over the averaging period, as a percent",real,percent,expanded
WSDBuoy_30min,buoyWindSpeedNullNAQM,"Buoy wind speed quality metric that summarizes when the null test could not be run over the averaging period, as a percent",real,percent,expanded
WSDBuoy_30min,buoyWindSpeedGapFailQM,"Buoy wind speed quality metric that summarizes the failed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded
WSDBuoy_30min,buoyWindSpeedGapPassQM,"Buoy wind speed quality metric that summarizes the passed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded
WSDBuoy_30min,buoyWindSpeedGapNAQM,"Buoy wind speed quality metric that summarizes when the gap test could not be run over the averaging period, as a percent",real,percent,expanded
WSDBuoy_30min,buoyWindSpeedSpikeFailQM,"Buoy wind speed quality metric that summarizes the failed outcomes of the spike test over the averaging period, as a percent",real,percent,expanded
