startDateTime,endDateTime,surfacewaterElevMean,surfacewaterElevMinimum,surfacewaterElevMaximum,surfacewaterElevVariance,surfacewaterElevNumPts,surfacewaterElevExpUncert,surfacewaterElevStdErMean,sWatElevFinalQF
"2017-10-15T11:40:00Z","2017-10-15T11:45:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T11:45:00Z","2017-10-15T11:50:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T11:50:00Z","2017-10-15T11:55:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T11:55:00Z","2017-10-15T12:00:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T12:00:00Z","2017-10-15T12:05:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T12:05:00Z","2017-10-15T12:10:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T12:10:00Z","2017-10-15T12:15:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T12:15:00Z","2017-10-15T12:20:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T12:20:00Z","2017-10-15T12:25:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T12:25:00Z","2017-10-15T12:30:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T12:30:00Z","2017-10-15T12:35:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T12:35:00Z","2017-10-15T12:40:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T12:40:00Z","2017-10-15T12:45:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T12:45:00Z","2017-10-15T12:50:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T12:50:00Z","2017-10-15T12:55:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T12:55:00Z","2017-10-15T13:00:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T13:00:00Z","2017-10-15T13:05:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T13:05:00Z","2017-10-15T13:10:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T13:10:00Z","2017-10-15T13:15:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T13:15:00Z","2017-10-15T13:20:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T13:20:00Z","2017-10-15T13:25:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T13:25:00Z","2017-10-15T13:30:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T13:30:00Z","2017-10-15T13:35:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T13:35:00Z","2017-10-15T13:40:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T13:40:00Z","2017-10-15T13:45:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T13:45:00Z","2017-10-15T13:50:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T13:50:00Z","2017-10-15T13:55:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T13:55:00Z","2017-10-15T14:00:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T14:00:00Z","2017-10-15T14:05:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T14:05:00Z","2017-10-15T14:10:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T14:10:00Z","2017-10-15T14:15:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T14:15:00Z","2017-10-15T14:20:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T14:20:00Z","2017-10-15T14:25:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T14:25:00Z","2017-10-15T14:30:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T14:30:00Z","2017-10-15T14:35:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T14:35:00Z","2017-10-15T14:40:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T14:40:00Z","2017-10-15T14:45:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T14:45:00Z","2017-10-15T14:50:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T14:50:00Z","2017-10-15T14:55:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T14:55:00Z","2017-10-15T15:00:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T15:00:00Z","2017-10-15T15:05:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T15:05:00Z","2017-10-15T15:10:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T15:10:00Z","2017-10-15T15:15:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T15:15:00Z","2017-10-15T15:20:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T15:20:00Z","2017-10-15T15:25:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T15:25:00Z","2017-10-15T15:30:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T15:30:00Z","2017-10-15T15:35:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T15:35:00Z","2017-10-15T15:40:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T15:40:00Z","2017-10-15T15:45:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T15:45:00Z","2017-10-15T15:50:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T15:50:00Z","2017-10-15T15:55:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T15:55:00Z","2017-10-15T16:00:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T16:00:00Z","2017-10-15T16:05:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
